channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column,org_id,condition
1,MASK,255,q0_000,107.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
1,MASK,255,q0_001,111.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
1,MASK,255,q0_250,149.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
1,MASK,255,q0_500,303.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
1,MASK,255,q0_750,1013.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
1,MASK,255,q0_999,4017.6799999999876,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
1,MASK,255,q1_000,4728.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
2,MASK,255,q0_000,181.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
2,MASK,255,q0_001,191.28,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
2,MASK,255,q0_250,259.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
2,MASK,255,q0_500,286.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
2,MASK,255,q0_750,323.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
2,MASK,255,q0_999,1798.9199999999928,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
2,MASK,255,q1_000,2442.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
3,MASK,255,q0_000,259.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
3,MASK,255,q0_001,317.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
3,MASK,255,q0_250,660.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
3,MASK,255,q0_500,772.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
3,MASK,255,q0_750,993.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
3,MASK,255,q0_999,19995.119999999923,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
3,MASK,255,q1_000,22620.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
1,CENTER-SURROUND,1,mean,653.6063853790614,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
1,CENTER-SURROUND,1,std,769.3776278947125,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
1,CENTER-SURROUND,1,mad,71.0,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
1,CENTER-SURROUND,2,mean,741.7919227392449,201031JD002regimetestAAB_20201031_173042,B,2,42,glu-glu
