channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column,org_id,condition
1,MASK,255,q0_000,121.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,MASK,255,q0_001,132.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,MASK,255,q0_250,2471.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,MASK,255,q0_500,3686.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,MASK,255,q0_750,4741.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,MASK,255,q0_999,9597.723000000056,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,MASK,255,q1_000,11316.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,MASK,255,q0_000,110.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,MASK,255,q0_001,125.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,MASK,255,q0_250,229.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,MASK,255,q0_500,267.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,MASK,255,q0_750,327.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,MASK,255,q0_999,1343.1020000000717,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,MASK,255,q1_000,4343.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,MASK,255,q0_000,151.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,MASK,255,q0_001,167.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,MASK,255,q0_250,1648.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,MASK,255,q0_500,2150.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,MASK,255,q0_750,4441.25,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,MASK,255,q0_999,59996.746000000625,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,MASK,255,q1_000,65535.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,CENTER-SURROUND,1,mean,3546.562067410443,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,CENTER-SURROUND,1,std,1837.0346547450786,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,CENTER-SURROUND,1,mad,1171.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,CENTER-SURROUND,2,mean,3561.721159993026,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,CENTER-SURROUND,2,std,1503.6473026976246,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,CENTER-SURROUND,2,mad,944.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,CENTER-SURROUND,1,mean,301.5308131213113,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,CENTER-SURROUND,1,std,128.26150682722056,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,CENTER-SURROUND,1,mad,49.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,CENTER-SURROUND,2,mean,288.5851688266403,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,CENTER-SURROUND,2,std,102.00069537556084,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,CENTER-SURROUND,2,mad,34.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,CENTER-SURROUND,1,mean,4948.263739926668,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,CENTER-SURROUND,1,std,8269.396851916888,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,CENTER-SURROUND,1,mad,426.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,CENTER-SURROUND,2,mean,5646.768698785378,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,CENTER-SURROUND,2,std,5655.948514546365,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,CENTER-SURROUND,2,mad,1195.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,MASK,255,mean,3550.386288998358,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,MASK,255,std,1758.9125785327187,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,MASK,255,mad,1141.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,MASK,255,mean,298.26498357963874,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,MASK,255,std,122.29949881249489,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,MASK,255,mad,45.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,MASK,255,mean,5124.477304714989,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,MASK,255,std,7700.257424178558,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,MASK,255,mad,702.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,MASK,255,weighted_centroid-0,61.01871073933107,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
1,MASK,255,weighted_centroid-1,77.77139158276663,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,MASK,255,weighted_centroid-0,60.039947515633315,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
2,MASK,255,weighted_centroid-1,78.14330610810292,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,MASK,255,weighted_centroid-0,57.86321993205008,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
3,MASK,255,weighted_centroid-1,80.73640232421249,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
na,MASK,255,minor_axis_length,61.57755925431586,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
na,MASK,255,eccentricity,0.9331871221242508,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
na,MASK,255,centroid-0,61.30115235749472,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
na,MASK,255,centroid-1,79.14985045742435,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
na,MASK,255,major_axis_length,171.33868707240512,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
na,MASK,255,convex_area,8754.833750000002,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
na,MASK,255,area,7204.470000000001,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
na,MASK,255,perimeter,485.7100378159819,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
na,MASK,255,solidity,0.8229133991265111,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
na,MASK,255,convex_perimeter,409.06319600175743,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
na,MASK,255,mean_radius,10.141430840306915,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
na,MASK,255,max_radius,29.831034594864455,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
na,MASK,255,median_radius,9.425,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
na,SKELETON,1,n_branches,2.0,201031JD002regimetestAAB_20201031_173042,B,2,26,glu-glu
