channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column,org_id,condition
1,MASK,255,q0_000,114.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
1,MASK,255,q0_001,122.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
1,MASK,255,q0_250,844.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
1,MASK,255,q0_500,1939.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
1,MASK,255,q0_750,2791.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
1,MASK,255,q0_999,6355.484999999997,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
1,MASK,255,q1_000,8755.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
2,MASK,255,q0_000,111.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
2,MASK,255,q0_001,119.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
2,MASK,255,q0_250,229.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
2,MASK,255,q0_500,259.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
2,MASK,255,q0_750,313.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
2,MASK,255,q0_999,2799.4729999999945,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
2,MASK,255,q1_000,3687.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
3,MASK,255,q0_000,130.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
3,MASK,255,q0_001,141.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
3,MASK,255,q0_250,1035.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
3,MASK,255,q0_500,1165.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
3,MASK,255,q0_750,1290.0,201031JD002regimetestAAB_20201031_173042,B,2,28,glu-glu
