channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column,org_id,condition
1,MASK,255,q0_000,120.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,MASK,255,q0_001,134.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,MASK,255,q0_250,2093.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,MASK,255,q0_500,3215.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,MASK,255,q0_750,4417.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,MASK,255,q0_999,10287.401999999973,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,MASK,255,q1_000,12682.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
2,MASK,255,q0_000,113.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
2,MASK,255,q0_001,126.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
2,MASK,255,q0_250,238.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
2,MASK,255,q0_500,268.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
2,MASK,255,q0_750,315.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
2,MASK,255,q0_999,1205.8229999999894,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
2,MASK,255,q1_000,2272.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
3,MASK,255,q0_000,138.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
3,MASK,255,q0_001,162.311,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
3,MASK,255,q0_250,1498.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
3,MASK,255,q0_500,1751.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
3,MASK,255,q0_750,3792.25,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
3,MASK,255,q0_999,65535.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
3,MASK,255,q1_000,65535.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,CENTER-SURROUND,1,mean,3415.500290632685,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,CENTER-SURROUND,1,std,1755.40076551921,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,CENTER-SURROUND,1,mad,1197.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,CENTER-SURROUND,2,mean,2913.978806979081,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,CENTER-SURROUND,2,std,1492.2003033221126,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,CENTER-SURROUND,2,mad,921.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
2,CENTER-SURROUND,1,mean,291.17733065057007,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
2,CENTER-SURROUND,1,std,106.47268803716774,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
2,CENTER-SURROUND,1,mad,36.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
2,CENTER-SURROUND,2,mean,325.1979537772906,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
2,CENTER-SURROUND,2,std,154.81584342786917,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
2,CENTER-SURROUND,2,mad,32.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
3,CENTER-SURROUND,1,mean,3134.639749608764,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
3,CENTER-SURROUND,1,std,4753.990699465,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
3,CENTER-SURROUND,1,mad,222.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
3,CENTER-SURROUND,2,mean,6405.89476568923,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
3,CENTER-SURROUND,2,std,10405.45241807954,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
3,CENTER-SURROUND,2,mad,1593.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,MASK,255,mean,3250.690141690682,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,MASK,255,std,1689.979429108708,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
1,MASK,255,mad,1164.0,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
2,MASK,255,mean,302.35719860710856,201031JD002regimetestAAB_20201031_173042,B,2,22,glu-glu
