channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column,org_id,condition
1,MASK,255,q0_000,106.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,MASK,255,q0_001,112.519,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,MASK,255,q0_250,669.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,MASK,255,q0_500,1432.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,MASK,255,q0_750,2100.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,MASK,255,q0_999,4927.062999999995,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,MASK,255,q1_000,5485.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,MASK,255,q0_000,149.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,MASK,255,q0_001,166.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,MASK,255,q0_250,216.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,MASK,255,q0_500,240.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,MASK,255,q0_750,277.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,MASK,255,q0_999,915.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,MASK,255,q1_000,1133.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,MASK,255,q0_000,266.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,MASK,255,q0_001,326.076,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,MASK,255,q0_250,810.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,MASK,255,q0_500,951.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,MASK,255,q0_750,1088.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,MASK,255,q0_999,2759.923999999999,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,MASK,255,q1_000,3782.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,CENTER-SURROUND,1,mean,1459.844596418609,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,CENTER-SURROUND,1,std,966.0309028523499,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,CENTER-SURROUND,1,mad,814.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,CENTER-SURROUND,2,mean,1451.0199682323575,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,CENTER-SURROUND,2,std,853.5283668837775,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,CENTER-SURROUND,2,mad,513.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,CENTER-SURROUND,1,mean,260.4170790965536,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,CENTER-SURROUND,1,std,80.12434536788656,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,CENTER-SURROUND,1,mad,26.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,CENTER-SURROUND,2,mean,273.93487633310644,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,CENTER-SURROUND,2,std,96.26233244837773,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,CENTER-SURROUND,2,mad,32.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,CENTER-SURROUND,1,mean,944.4200485917394,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,CENTER-SURROUND,1,std,272.851003379643,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,CENTER-SURROUND,1,mad,154.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,CENTER-SURROUND,2,mean,1056.2359882005899,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,CENTER-SURROUND,2,std,339.38669660521566,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,CENTER-SURROUND,2,mad,105.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,MASK,255,mean,1457.3387886597939,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,MASK,255,std,935.4700844536992,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,MASK,255,mad,711.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,MASK,255,mean,264.2555412371134,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,MASK,255,std,85.23704081273108,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,MASK,255,mad,28.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,MASK,255,mean,976.1708762886598,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,MASK,255,std,297.58519147950204,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,MASK,255,mad,139.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,MASK,255,weighted_centroid-0,30.94416662856999,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
1,MASK,255,weighted_centroid-1,27.32394430839683,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,MASK,255,weighted_centroid-0,31.06868330990143,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
2,MASK,255,weighted_centroid-1,25.996563733314215,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,MASK,255,weighted_centroid-0,31.710694053506455,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
3,MASK,255,weighted_centroid-1,26.34949972350149,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,MASK,255,minor_axis_length,41.962075412654706,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,MASK,255,eccentricity,0.547181174334967,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,MASK,255,centroid-0,30.856572164948453,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,MASK,255,centroid-1,25.52925257731959,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,MASK,255,major_axis_length,50.13305111030777,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,MASK,255,convex_area,1690.0000000000002,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,MASK,255,area,1639.3000000000002,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,MASK,255,perimeter,172.0078210486802,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,MASK,255,solidity,0.97,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,MASK,255,convex_perimeter,153.73128419472076,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,MASK,255,mean_radius,7.185993370677076,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,MASK,255,max_radius,20.150000000000002,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,MASK,255,median_radius,6.310358547657969,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,SKELETON,1,n_branches,2.0,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,SPX,1,center_x,-60.090137629502046,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,SPX,1,center_y,6.501675692168035,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,SPX,1,center_radius,60.440850648701385,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,SPX,1,center_phi,3.0338132231835395,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,SPX,2,center_x,-48.23484987694951,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,SPX,2,center_y,-38.21440407263289,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,SPX,2,center_radius,61.53812981622303,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
na,SPX,2,center_phi,-2.4715908335725523,201031JD002regimetestAAB_20201031_173042,B,2,20,glu-glu
