channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column,org_id,condition
1,MASK,255,q0_000,112.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
1,MASK,255,q0_001,120.087,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
1,MASK,255,q0_250,1146.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
1,MASK,255,q0_500,2286.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
1,MASK,255,q0_750,3202.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
1,MASK,255,q0_999,7554.739000000001,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
1,MASK,255,q1_000,8742.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
2,MASK,255,q0_000,123.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
2,MASK,255,q0_001,140.087,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
2,MASK,255,q0_250,272.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
2,MASK,255,q0_500,298.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
2,MASK,255,q0_750,341.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
2,MASK,255,q0_999,2177.4340000000084,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
2,MASK,255,q1_000,7700.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
3,MASK,255,q0_000,184.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
3,MASK,255,q0_001,246.174,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
3,MASK,255,q0_250,1295.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
3,MASK,255,q0_500,1473.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
3,MASK,255,q0_750,1640.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
3,MASK,255,q0_999,2288.826000000001,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
3,MASK,255,q1_000,2432.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
1,CENTER-SURROUND,1,mean,2390.206287463334,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
1,CENTER-SURROUND,1,std,1420.4182783344515,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
1,CENTER-SURROUND,1,mad,1012.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
1,CENTER-SURROUND,2,mean,2008.931742508324,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
1,CENTER-SURROUND,2,std,1321.4094083987354,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
1,CENTER-SURROUND,2,mad,897.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
2,CENTER-SURROUND,1,mean,315.74072184670325,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
2,CENTER-SURROUND,1,std,172.02412569130817,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
2,CENTER-SURROUND,1,mad,27.0,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
2,CENTER-SURROUND,2,mean,520.8792082870884,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
2,CENTER-SURROUND,2,std,331.3193259805751,201031JD002regimetestAAB_20201031_173042,B,2,24,glu-glu
