channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column,org_id,condition
1,MASK,255,q0_000,125.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
1,MASK,255,q0_001,140.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
1,MASK,255,q0_250,2463.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
1,MASK,255,q0_500,3636.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
1,MASK,255,q0_750,4641.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
1,MASK,255,q0_999,8619.108999999953,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
1,MASK,255,q1_000,10786.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
2,MASK,255,q0_000,111.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
2,MASK,255,q0_001,124.607,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
2,MASK,255,q0_250,207.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
2,MASK,255,q0_500,236.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
2,MASK,255,q0_750,269.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
2,MASK,255,q0_999,906.964999999982,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
2,MASK,255,q1_000,2741.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
3,MASK,255,q0_000,132.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
3,MASK,255,q0_001,164.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
3,MASK,255,q0_250,1332.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
3,MASK,255,q0_500,1484.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
3,MASK,255,q0_750,1705.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
3,MASK,255,q0_999,36026.393,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
3,MASK,255,q1_000,53123.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
1,CENTER-SURROUND,1,mean,3460.777797025415,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
1,CENTER-SURROUND,1,std,1741.1051973585447,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
1,CENTER-SURROUND,1,mad,1163.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
1,CENTER-SURROUND,2,mean,3617.466306180592,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
1,CENTER-SURROUND,2,std,1394.4354048411765,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
1,CENTER-SURROUND,2,mad,941.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
2,CENTER-SURROUND,1,mean,243.445222598926,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
2,CENTER-SURROUND,1,std,74.18441181859944,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
2,CENTER-SURROUND,1,mad,31.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
2,CENTER-SURROUND,2,mean,258.80365137507994,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
2,CENTER-SURROUND,2,std,72.33969485204852,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
2,CENTER-SURROUND,2,mad,30.0,201031JD002regimetestAAB_20201031_173042,B,2,38,glu-glu
