channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column,org_id,condition
1,MASK,255,q0_000,118.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,MASK,255,q0_001,135.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,MASK,255,q0_250,1799.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,MASK,255,q0_500,2834.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,MASK,255,q0_750,3880.25,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,MASK,255,q0_999,8524.155999999988,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,MASK,255,q1_000,9893.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,MASK,255,q0_000,114.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,MASK,255,q0_001,130.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,MASK,255,q0_250,218.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,MASK,255,q0_500,254.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,MASK,255,q0_750,295.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,MASK,255,q0_999,36482.084999999955,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,MASK,255,q1_000,65535.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
3,MASK,255,q0_000,135.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
3,MASK,255,q0_001,166.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
3,MASK,255,q0_250,1105.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
3,MASK,255,q0_500,1261.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
3,MASK,255,q0_750,1513.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
3,MASK,255,q0_999,20793.155999999988,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
3,MASK,255,q1_000,24911.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,CENTER-SURROUND,1,mean,2939.990763971217,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,CENTER-SURROUND,1,std,1561.5152764324057,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,CENTER-SURROUND,1,mad,1040.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,CENTER-SURROUND,2,mean,2618.1204509344025,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,CENTER-SURROUND,2,std,1515.612404475296,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,CENTER-SURROUND,2,mad,899.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,CENTER-SURROUND,1,mean,387.27537150891897,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,CENTER-SURROUND,1,std,2449.628763941157,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,CENTER-SURROUND,1,mad,39.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,CENTER-SURROUND,2,mean,285.8608610123326,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,CENTER-SURROUND,2,std,91.36747103352948,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,CENTER-SURROUND,2,mad,36.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
3,CENTER-SURROUND,1,mean,1815.0234898403683,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
3,CENTER-SURROUND,1,std,2182.561395923102,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
3,CENTER-SURROUND,1,mad,191.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
3,CENTER-SURROUND,2,mean,1422.0163425890898,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
3,CENTER-SURROUND,2,std,741.7290950375414,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
3,CENTER-SURROUND,2,mad,177.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,MASK,255,mean,2854.027299547365,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,MASK,255,std,1555.9194304619498,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
1,MASK,255,mad,1042.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,MASK,255,mean,360.1901066925315,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,MASK,255,std,2098.1641677879775,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
2,MASK,255,mad,38.0,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
3,MASK,255,mean,1710.061166343356,201031JD002regimetestAAB_20201031_173042,B,2,39,glu-glu
