channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column,org_id,condition
1,MASK,255,q0_000,137.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
1,MASK,255,q0_001,159.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
1,MASK,255,q0_250,2439.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
1,MASK,255,q0_500,3273.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
1,MASK,255,q0_750,4141.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
1,MASK,255,q0_999,7783.840000000011,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
1,MASK,255,q1_000,9458.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
2,MASK,255,q0_000,169.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
2,MASK,255,q0_001,206.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
2,MASK,255,q0_250,269.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
2,MASK,255,q0_500,294.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
2,MASK,255,q0_750,330.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
2,MASK,255,q0_999,1844.7840000000288,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
2,MASK,255,q1_000,65535.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
3,MASK,255,q0_000,250.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
3,MASK,255,q0_001,347.264,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
3,MASK,255,q0_250,1174.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
3,MASK,255,q0_500,1493.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
3,MASK,255,q0_750,2682.0,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
3,MASK,255,q0_999,54455.61600000008,201031JD002regimetestAAB_20201031_173042,B,2,19,glu-glu
