channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column,org_id,condition
1,MASK,255,q0_000,123.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
1,MASK,255,q0_001,146.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
1,MASK,255,q0_250,3038.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
1,MASK,255,q0_500,4316.5,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
1,MASK,255,q0_750,5423.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
1,MASK,255,q0_999,9665.631000000001,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
1,MASK,255,q1_000,11597.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
2,MASK,255,q0_000,110.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
2,MASK,255,q0_001,124.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
2,MASK,255,q0_250,258.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
2,MASK,255,q0_500,307.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
2,MASK,255,q0_750,501.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
2,MASK,255,q0_999,4566.631000000001,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
2,MASK,255,q1_000,6859.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
3,MASK,255,q0_000,152.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
3,MASK,255,q0_001,170.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
3,MASK,255,q0_250,1758.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
3,MASK,255,q0_500,2681.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
3,MASK,255,q0_750,5878.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
3,MASK,255,q0_999,47677.61100000001,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
3,MASK,255,q1_000,65535.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
1,CENTER-SURROUND,1,mean,4271.874973290598,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
1,CENTER-SURROUND,1,std,1889.7839705749545,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
1,CENTER-SURROUND,1,mad,1135.0,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
1,CENTER-SURROUND,2,mean,3865.400704592902,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
1,CENTER-SURROUND,2,std,1600.0880532364931,201031JD002regimetestAAB_20201031_173042,B,2,21,glu-glu
