channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column,org_id,condition
1,MASK,255,q0_000,122.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,MASK,255,q0_001,135.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,MASK,255,q0_250,1429.75,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,MASK,255,q0_500,2592.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,MASK,255,q0_750,3787.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,MASK,255,q0_999,8311.307000000019,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,MASK,255,q1_000,9232.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,MASK,255,q0_000,142.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,MASK,255,q0_001,169.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,MASK,255,q0_250,250.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,MASK,255,q0_500,270.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,MASK,255,q0_750,296.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,MASK,255,q0_999,1159.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,MASK,255,q1_000,1835.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,MASK,255,q0_000,170.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,MASK,255,q0_001,282.126,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,MASK,255,q0_250,1176.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,MASK,255,q0_500,1342.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,MASK,255,q0_750,1865.5,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,MASK,255,q0_999,7959.559000000012,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,MASK,255,q1_000,8642.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,CENTER-SURROUND,1,mean,2888.712456278912,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,CENTER-SURROUND,1,std,1646.81189350205,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,CENTER-SURROUND,1,mad,1134.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,CENTER-SURROUND,2,mean,2188.377879457242,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,CENTER-SURROUND,2,std,1359.4589750893124,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,CENTER-SURROUND,2,mad,947.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,CENTER-SURROUND,1,mean,279.2045018616721,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,CENTER-SURROUND,1,std,56.11809351505835,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,CENTER-SURROUND,1,mad,22.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,CENTER-SURROUND,2,mean,319.8325970337646,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,CENTER-SURROUND,2,std,165.26061128147083,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,CENTER-SURROUND,2,mad,22.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,CENTER-SURROUND,1,mean,1492.8387114972356,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,CENTER-SURROUND,1,std,852.5665148813754,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,CENTER-SURROUND,1,mad,151.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,CENTER-SURROUND,2,mean,2242.7380877248343,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,CENTER-SURROUND,2,std,1128.350510664689,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,CENTER-SURROUND,2,mad,464.5,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,MASK,255,mean,2704.2576462765956,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,MASK,255,std,1606.119993556368,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,MASK,255,mad,1180.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,MASK,255,mean,289.90516954787233,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,MASK,255,std,99.16274619323673,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,MASK,255,mad,22.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,MASK,255,mean,1690.3479471409576,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,MASK,255,std,989.8778819775359,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,MASK,255,mad,218.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,MASK,255,weighted_centroid-0,31.856240050365688,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
1,MASK,255,weighted_centroid-1,36.45479228733269,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,MASK,255,weighted_centroid-0,34.05345421297718,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
2,MASK,255,weighted_centroid-1,35.12337651968571,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,MASK,255,weighted_centroid-0,32.742646593676014,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
3,MASK,255,weighted_centroid-1,37.17535552194185,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,MASK,255,minor_axis_length,54.97791057577886,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,MASK,255,eccentricity,0.3608621767625904,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,MASK,255,centroid-0,34.02646276595745,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,MASK,255,centroid-1,35.57107712765958,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,MASK,255,major_axis_length,58.95001217374898,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,MASK,255,convex_area,2621.19,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,MASK,255,area,2541.76,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,MASK,255,perimeter,218.17135098079154,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,MASK,255,solidity,0.9696969696969697,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,MASK,255,convex_perimeter,190.18540392316615,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,MASK,255,mean_radius,9.111715582957375,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,MASK,255,max_radius,26.7153162998307,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,MASK,255,median_radius,7.9939430195617485,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SKELETON,1,n_branches,2.0,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,1,center_x,-76.11178818283481,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,1,center_y,-19.19848005236615,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,1,center_radius,78.49577018355711,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,1,center_phi,-2.8945063426299846,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,2,center_x,-66.33936271495182,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,2,center_y,50.566938926285204,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,2,center_radius,83.41418559094488,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,2,center_phi,2.4902998234742557,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,3,center_x,-67.46621393512808,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,3,center_y,-2.679754804422487,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,3,center_radius,67.51941282736614,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,3,center_phi,-3.101893569850916,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,4,center_x,-50.1523589024378,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,4,center_y,-63.24066367519494,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,4,center_radius,80.71332384159416,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,4,center_phi,-2.241278769460273,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,5,center_x,-61.778673548243965,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,5,center_y,36.68725896713447,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,5,center_radius,71.85095320106817,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,5,center_phi,2.6057075594802233,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,6,center_x,-55.17415377423267,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,6,center_y,69.09672019697153,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,6,center_radius,88.42253099002113,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
na,SPX,6,center_phi,2.2446257010068735,201031JD002regimetestAAB_20201031_173042,B,2,2,glu-glu
