channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column,org_id,condition
1,MASK,255,q0_000,133.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,MASK,255,q0_001,148.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,MASK,255,q0_250,2437.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,MASK,255,q0_500,3383.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,MASK,255,q0_750,4392.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,MASK,255,q0_999,7884.081000000013,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,MASK,255,q1_000,10120.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,MASK,255,q0_000,152.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,MASK,255,q0_001,176.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,MASK,255,q0_250,250.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,MASK,255,q0_500,279.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,MASK,255,q0_750,332.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,MASK,255,q0_999,2087.372000000003,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,MASK,255,q1_000,3385.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,MASK,255,q0_000,191.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,MASK,255,q0_001,321.81399999999996,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,MASK,255,q0_250,1255.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,MASK,255,q0_500,1431.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,MASK,255,q0_750,1742.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,MASK,255,q0_999,23292.151000000005,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,MASK,255,q1_000,29912.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,CENTER-SURROUND,1,mean,3498.519596487951,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,CENTER-SURROUND,1,std,1539.9970462823146,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,CENTER-SURROUND,1,mad,1018.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,CENTER-SURROUND,2,mean,3050.899370478249,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,CENTER-SURROUND,2,std,1273.1812378675445,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,CENTER-SURROUND,2,mad,782.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,CENTER-SURROUND,1,mean,315.2555949934616,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,CENTER-SURROUND,1,std,155.05010133487426,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,CENTER-SURROUND,1,mad,35.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,CENTER-SURROUND,2,mean,296.8724043972564,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,CENTER-SURROUND,2,std,81.55482331865375,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,CENTER-SURROUND,2,mad,35.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,CENTER-SURROUND,1,mean,1905.3260601531852,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,CENTER-SURROUND,1,std,2148.6526706003756,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,CENTER-SURROUND,1,mad,187.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,CENTER-SURROUND,2,mean,1932.5159259607253,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,CENTER-SURROUND,2,std,1104.9701515438899,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,CENTER-SURROUND,2,mad,250.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,MASK,255,mean,3371.1665686484175,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,MASK,255,std,1482.8430691284511,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,MASK,255,mad,974.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,MASK,255,mean,310.02536890504706,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,MASK,255,std,138.42637476609727,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,MASK,255,mad,36.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,MASK,255,mean,1913.0618851582549,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,MASK,255,std,1910.6882627883326,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,MASK,255,mad,216.0,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,MASK,255,weighted_centroid-0,39.969463521872925,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
1,MASK,255,weighted_centroid-1,52.062266978122565,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,MASK,255,weighted_centroid-0,39.93854543968323,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
2,MASK,255,weighted_centroid-1,50.948079294126316,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,MASK,255,weighted_centroid-0,42.26092597049635,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
3,MASK,255,weighted_centroid-1,58.83581804410131,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
na,MASK,255,minor_axis_length,59.08513780975426,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
na,MASK,255,eccentricity,0.7308869954345157,201031JD002regimetestAAB_20201031_173042,B,2,4,glu-glu
