channel,region,object_id,feature_name,feature_value,platedir,plate_row,plate_column,org_id,condition
1,MASK,255,q0_000,107.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
1,MASK,255,q0_001,112.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
1,MASK,255,q0_250,304.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
1,MASK,255,q0_500,1108.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
1,MASK,255,q0_750,2473.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
1,MASK,255,q0_999,9349.428000000002,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
1,MASK,255,q1_000,10022.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
2,MASK,255,q0_000,128.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
2,MASK,255,q0_001,133.348,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
2,MASK,255,q0_250,286.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
2,MASK,255,q0_500,339.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
2,MASK,255,q0_750,454.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
2,MASK,255,q0_999,1628.688000000002,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
2,MASK,255,q1_000,2527.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
3,MASK,255,q0_000,160.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
3,MASK,255,q0_001,245.696,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
3,MASK,255,q0_250,1202.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
3,MASK,255,q0_500,1375.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
3,MASK,255,q0_750,1545.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
3,MASK,255,q0_999,2281.304,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
3,MASK,255,q1_000,2451.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
1,CENTER-SURROUND,1,mean,1629.4749532092922,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
1,CENTER-SURROUND,1,std,1675.1105935134972,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
1,CENTER-SURROUND,1,mad,843.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
1,CENTER-SURROUND,2,mean,1668.5621555419473,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
1,CENTER-SURROUND,2,std,1527.8178385495069,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
1,CENTER-SURROUND,2,mad,962.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
2,CENTER-SURROUND,1,mean,356.31564461081143,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
2,CENTER-SURROUND,1,std,137.47310649365912,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
2,CENTER-SURROUND,1,mad,52.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
2,CENTER-SURROUND,2,mean,526.0612369871402,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
2,CENTER-SURROUND,2,std,273.3661488979933,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
2,CENTER-SURROUND,2,mad,118.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
3,CENTER-SURROUND,1,mean,1395.3011119674115,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
3,CENTER-SURROUND,1,std,298.5987682923608,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
3,CENTER-SURROUND,1,mad,178.0,201031JD002regimetestAAB_20201031_173042,B,2,37,glu-glu
